time,temp_c
2025-11-04 00:00:00,9.8
2025-11-04 01:00:00,9.5
2025-11-04 02:00:00,8.7
2025-11-04 03:00:00,8.1
2025-11-04 04:00:00,7.4
2025-11-04 05:00:00,6.8
2025-11-04 06:00:00,6.1
2025-11-04 07:00:00,5.9
2025-11-04 08:00:00,8.6
2025-11-04 09:00:00,11.5
2025-11-04 10:00:00,13.7
2025-11-04 11:00:00,15.8
2025-11-04 12:00:00,17.1
2025-11-04 13:00:00,18.2
2025-11-04 14:00:00,18.8
2025-11-04 15:00:00,19.0
2025-11-04 16:00:00,18.5
2025-11-04 17:00:00,15.9
2025-11-04 18:00:00,12.3
2025-11-04 19:00:00,9.7
2025-11-04 20:00:00,9.5
2025-11-04 21:00:00,8.8
2025-11-04 22:00:00,8.0
2025-11-04 23:00:00,7.5
