time,temperature
2025-11-13 00:00:00,10.1
2025-11-13 01:00:00,11.2
2025-11-13 02:00:00,12.1
2025-11-13 03:00:00,12.2
2025-11-13 04:00:00,12.9
2025-11-13 05:00:00,13.6
2025-11-13 06:00:00,13.5
2025-11-13 07:00:00,13.3
2025-11-13 08:00:00,12.5
2025-11-13 09:00:00,11.6
2025-11-13 10:00:00,11.1
2025-11-13 11:00:00,11.1
2025-11-13 12:00:00,10.6
2025-11-13 13:00:00,10.5
2025-11-13 14:00:00,10.1
2025-11-13 15:00:00,9.9
2025-11-13 16:00:00,10.0
2025-11-13 17:00:00,9.8
2025-11-13 18:00:00,9.6
2025-11-13 19:00:00,9.4
2025-11-13 20:00:00,9.2
2025-11-13 21:00:00,8.9
2025-11-13 22:00:00,9.1
2025-11-13 23:00:00,10.8
2025-11-14 00:00:00,13.3
2025-11-14 01:00:00,15.1
2025-11-14 02:00:00,16.5
2025-11-14 03:00:00,17.4
2025-11-14 04:00:00,18.0
2025-11-14 05:00:00,18.2
2025-11-14 06:00:00,18.2
2025-11-14 07:00:00,17.5
2025-11-14 08:00:00,16.0
2025-11-14 09:00:00,15.7
2025-11-14 10:00:00,15.1
2025-11-14 11:00:00,14.5
2025-11-14 12:00:00,14.0
2025-11-14 13:00:00,13.6
2025-11-14 14:00:00,13.2
2025-11-14 15:00:00,12.8
2025-11-14 16:00:00,11.0
2025-11-14 17:00:00,10.7
2025-11-14 18:00:00,10.8
2025-11-14 19:00:00,10.6
2025-11-14 20:00:00,10.4
2025-11-14 21:00:00,10.1
2025-11-14 22:00:00,10.0
2025-11-14 23:00:00,10.9
2025-11-15 00:00:00,12.1
2025-11-15 01:00:00,13.2
2025-11-15 02:00:00,14.2
2025-11-15 03:00:00,15.2
2025-11-15 04:00:00,15.9
2025-11-15 05:00:00,16.3
2025-11-15 06:00:00,16.2
2025-11-15 07:00:00,15.6
2025-11-15 08:00:00,13.9
2025-11-15 09:00:00,13.2
2025-11-15 10:00:00,12.9
2025-11-15 11:00:00,12.4
2025-11-15 12:00:00,11.4
2025-11-15 13:00:00,10.5
2025-11-15 14:00:00,9.9
2025-11-15 15:00:00,9.3
2025-11-15 16:00:00,8.8
2025-11-15 17:00:00,8.4
2025-11-15 18:00:00,7.9
2025-11-15 19:00:00,7.7
2025-11-15 20:00:00,7.4
2025-11-15 21:00:00,7.2
2025-11-15 22:00:00,7.2
2025-11-15 23:00:00,8.4
2025-11-16 00:00:00,9.9
2025-11-16 01:00:00,11.6
2025-11-16 02:00:00,13.2
2025-11-16 03:00:00,14.8
2025-11-16 04:00:00,15.8
2025-11-16 05:00:00,16.1
2025-11-16 06:00:00,16.2
2025-11-16 07:00:00,15.8
2025-11-16 08:00:00,14.9
2025-11-16 09:00:00,14.3
2025-11-16 10:00:00,14.4
2025-11-16 11:00:00,13.9
2025-11-16 12:00:00,13.1
2025-11-16 13:00:00,12.1
2025-11-16 14:00:00,11.2
2025-11-16 15:00:00,10.6
2025-11-16 16:00:00,10.1
2025-11-16 17:00:00,10.1
2025-11-16 18:00:00,9.8
2025-11-16 19:00:00,11.6
2025-11-16 20:00:00,10.6
2025-11-16 21:00:00,10.3
2025-11-16 22:00:00,11.1
2025-11-16 23:00:00,12.5
2025-11-17 00:00:00,14.2
2025-11-17 01:00:00,16.1
2025-11-17 02:00:00,18.2
2025-11-17 03:00:00,19.9
2025-11-17 04:00:00,20.8
2025-11-17 05:00:00,21.2
2025-11-17 06:00:00,21.1
2025-11-17 07:00:00,20.0
2025-11-17 08:00:00,18.3
2025-11-17 09:00:00,16.8
2025-11-17 10:00:00,15.9
2025-11-17 11:00:00,15.1
2025-11-17 12:00:00,14.3
2025-11-17 13:00:00,13.5
2025-11-17 14:00:00,12.7
2025-11-17 15:00:00,12.0
2025-11-17 16:00:00,11.5
2025-11-17 17:00:00,11.2
2025-11-17 18:00:00,10.8
2025-11-17 19:00:00,10.1
2025-11-17 20:00:00,9.4
2025-11-17 21:00:00,9.1
2025-11-17 22:00:00,9.5
2025-11-17 23:00:00,10.4
2025-11-18 00:00:00,11.4
2025-11-18 01:00:00,12.7
2025-11-18 02:00:00,14.2
2025-11-18 03:00:00,15.2
2025-11-18 04:00:00,15.5
2025-11-18 05:00:00,15.3
2025-11-18 06:00:00,14.7
2025-11-18 07:00:00,13.5
2025-11-18 08:00:00,12.0
2025-11-18 09:00:00,10.6
2025-11-18 10:00:00,9.7
2025-11-18 11:00:00,8.9
2025-11-18 12:00:00,8.2
2025-11-18 13:00:00,7.6
2025-11-18 14:00:00,7.1
2025-11-18 15:00:00,6.7
2025-11-18 16:00:00,6.6
2025-11-18 17:00:00,6.6
2025-11-18 18:00:00,6.7
2025-11-18 19:00:00,6.5
2025-11-18 20:00:00,6.4
2025-11-18 21:00:00,6.5
2025-11-18 22:00:00,7.2
2025-11-18 23:00:00,8.1
2025-11-19 00:00:00,9.2
2025-11-19 01:00:00,10.4
2025-11-19 02:00:00,11.8
2025-11-19 03:00:00,13.0
2025-11-19 04:00:00,13.9
2025-11-19 05:00:00,14.7
2025-11-19 06:00:00,14.9
2025-11-19 07:00:00,14.1
2025-11-19 08:00:00,12.7
2025-11-19 09:00:00,11.5
2025-11-19 10:00:00,10.5
2025-11-19 11:00:00,9.7
2025-11-19 12:00:00,9.0
2025-11-19 13:00:00,8.5
2025-11-19 14:00:00,8.1
2025-11-19 15:00:00,7.8
2025-11-19 16:00:00,7.4
2025-11-19 17:00:00,7.1
2025-11-19 18:00:00,6.8
2025-11-19 19:00:00,6.2
2025-11-19 20:00:00,5.6
2025-11-19 21:00:00,5.6
2025-11-19 22:00:00,6.3
2025-11-19 23:00:00,7.6
