step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
0,0,5.0039,1.01369,5.0039,1.01369,-0.551074
1,0.01,4.9656,0.972985,5.00435,0.989469,-0.549909
2,0.02,5.0315,0.989662,5.0177,0.998094,-0.551674
3,0.03,5.07691,0.972941,5.03752,1.02271,-0.554888
4,0.04,5.07258,1.02042,5.05272,1.03512,-0.557028
5,0.05,5.06921,0.979789,5.0643,1.03819,-0.558339
6,0.06,5.11989,0.964214,5.08372,1.0608,-0.561412
7,0.07,5.11762,0.95442,5.09899,1.07245,-0.563521
8,0.08,5.05365,0.936805,5.0985,1.04441,-0.562071
9,0.09,5.16293,0.896454,5.11974,1.07141,-0.565544
10,0.1,5.06831,0.90394,5.11803,1.04034,-0.563819
11,0.11,5.09026,0.939615,5.12079,1.02125,-0.563142
12,0.12,5.08093,0.929282,5.12099,0.996213,-0.56191
13,0.13,5.13428,0.913768,5.13162,0.997875,-0.563056
14,0.14,5.14047,0.929264,5.14137,0.997311,-0.564003
15,0.15,5.19623,0.901101,5.16032,1.01975,-0.56702
16,0.16,5.23254,0.903711,5.18292,1.05076,-0.57083
17,0.17,5.21176,0.918159,5.1971,1.05993,-0.572706
18,0.18,5.24103,0.893278,5.21436,1.0766,-0.575266
19,0.19,5.19171,0.916245,5.21845,1.05989,-0.574839
20,0.2,5.13255,0.87806,5.20975,1.01164,-0.571557
21,0.21,5.20053,0.883209,5.216,1.00197,-0.571698
22,0.22,5.29951,0.867935,5.24071,1.03872,-0.576007
23,0.23,5.22403,0.863982,5.24569,1.02518,-0.575828
24,0.24,5.20284,0.844766,5.24532,0.998636,-0.574464
25,0.25,5.16196,0.874727,5.23664,0.951964,-0.571262
26,0.26,5.30554,0.833636,5.25803,0.981657,-0.574886
27,0.27,5.1925,0.878714,5.25278,0.943984,-0.572477
28,0.28,5.27513,0.869961,5.2648,0.950441,-0.574002
29,0.29,5.26746,0.795985,5.27294,0.947017,-0.574645
30,0.3,5.31226,0.840423,5.28838,0.961941,-0.576935
31,0.31,5.29139,0.800391,5.29668,0.958639,-0.5776
32,0.32,5.35612,0.789851,5.31624,0.983569,-0.580802
33,0.33,5.33628,0.810477,5.32811,0.988674,-0.582245
34,0.34,5.36353,0.798577,5.34311,1.00144,-0.584383
35,0.35,5.31355,0.780125,5.34521,0.981657,-0.583604
36,0.36,5.3257,0.810178,5.34916,0.966997,-0.583266
37,0.37,5.28529,0.787774,5.34412,0.930229,-0.580924
38,0.38,5.35297,0.783991,5.35333,0.930002,-0.581833
39,0.39,5.35262,0.80063,5.36063,0.924994,-0.582313
